ID,mod01,mod02,mod03,mod04,c_mod,z_mod,Categ,mod01_01,mod01_02,mod01_03,mod01_04,mod01_05,c_mod1,z_mod1,mod02_01,mod02_02,mod02_03,mod02_04,mod02_05,mod02_06,mod02_07,c_mod2,z_mod2,mod03_01,mod03_02,mod03_03,mod03_04,mod03_05,mod03_06,mod03_07,c_mod3,z_mod3,mod04_01,mod04_02,mod04_03,mod04_04,mod04_05,mod04_06,c_mod4,z_mod4,Reg_hab_dens,Riv_net_disp_dist,Glac_lake_marine_dist,Time_since_glac,Surface_area,Max_depth,Secchi_depth,Prop_shield_litho,Clim_MWMT,Clim_MCMT,Clim_MSP,Clim_PAS
IDL42132,0,1,0,0,0.611111111,-0.784588268,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,-0.681738966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,146776.9364,36548.1895,10.5,55.1,14,4.5,1,17.54590164,-14.50163934,407.9016393,289.704918
IDL42133,0,1,0,0,0.612244898,-0.117089487,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.444444444,1.464189369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,255036.5256,60050.66165,10.5,360.8,24,5.4,1,17.55901639,-15.21147541,404.0655738,273.5245902
IDL42134,0,0,1,0,0.444444444,-0.472909007,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0.165931,46414.36105,7246.593954,11.5,162.2,17.4,5.9,1,18.39508197,-12.43934426,384.1803279,252.8196721
IDL42135,0,1,0,0,0.48,-0.117089487,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.444444444,1.464189369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,175940.9332,61024.11309,10.5,20.8,15.5,7.5,1,17.49508197,-14.76065574,415.7377049,300.1311475
IDL42136,0,1,0,0,0.48,-0.117089487,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.444444444,-0.333860698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,171727.0394,60885.43218,10.5,64.3,7,4.4,1,17.53114754,-14.73114754,412.4918033,298.0491803
IDL42137,0,1,0,0,0.444444444,0.550409294,MOD02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.375,2.697695089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,198931.7448,17603.23131,11,17.2,11.6,3.3,0.596373919,17.85409836,-13.62295082,399.2622951,275.9672131
IDL42138,0,0,1,0,0.625,-1.375336402,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-1.453198831,0,0,0,0,0,0,0,0,0.091959,13347.50722,0,11.5,64.8,35.1,6.7,0,18.55737705,-11.99672131,368.147541,234.5901639
IDL42139,0,0,0,1,0.5,-0.757832269,MOD04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.625,-0.815487937,0.091959,108635.5842,0,11.5,38.3,36.6,2.8,0,18.28852459,-12.90163934,379.7540984,243.2622951
IDL42140,0,0,1,0,0.611111111,1.331945781,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.625,0,0,0,0,0,0,0,0,0,0.162491,26062.01798,0,11.5,151,20.4,4.6,0,18.40655738,-12.45901639,374.3606557,239.1639344
IDL42141,0,0,1,0,0.716049383,0.429518387,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.444444444,0.686624691,0,0,0,0,0,0,0,0,0.162491,1730.258236,0,11.5,30.3,28.4,7,0,18.5852459,-12.05737705,367.3606557,234.3278689
IDL42142,0,1,0,0,0.408163265,1.217908074,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.56,1.465591877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,234000.0731,41135.85634,10.5,51,10.4,3.4,1,17.51803279,-14.81311475,407.9672131,284.1311475
IDL42143,0,1,0,0,0.567901235,-0.117089487,MOD02,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.444444444,0.856133804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,137252.3068,33957.79392,10.5,416.1,42.7,4.8,1,17.75409836,-14.03770492,401.5081967,279.3114754
IDL42145,0,0,1,0,0.67768595,0.429518387,MOD03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.444444444,0.686624691,0,0,0,0,0,0,0,0,0.091959,21120.68048,0,11.5,144.4,14.3,3.8,0,18.49016393,-12.06885246,369.8360656,236
IDL42147,0,1,0,0,0.444444444,-0.784588268,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091732,269248.4334,82746.35155,10,52.1,11,2.9,1,17.49672131,-15.25901639,409.4918033,290.0491803
IDL42148,0,1,0,0,0.375,-0.117089487,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.666666667,-0.681738966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,228149.7612,38467.96971,10.5,61.5,8.5,4.1,1,17.50163934,-14.81147541,408.3934426,283.9672131
IDL42149,0,1,0,0,0.375,-0.117089487,MOD02,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.444444444,0.649050799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,105808.018,1815.439678,11.5,37.2,12.2,5.2,1,18.09508197,-13.10327869,386.1311475,257.1803279
IDL42150,0,1,0,0,0,-0.117089487,MOD02,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.444444444,1.464189369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.165931,79311.59107,22378.52297,11,132.3,61.6,9.3,0,18.0295082,-13.24590164,400.2622951,277.3278689
IDL42151,0,1,0,0,0.571428571,0.550409294,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.375,1.465591877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,162701.0186,4166.004563,11,56.3,38.1,6.5,1,17.95901639,-13.5,392.557377,264.8688525
IDL42152,0,0,0,1,0.375,-1.085354987,MOD04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.444444444,-1.434884623,0.091959,116348.8587,5237.71703,11,58.9,19.2,4.4,1,17.97213115,-13.45245902,392.3934426,264.4098361
IDL42153,0,1,0,0,0.5,1.217908074,MOD02,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.72,-0.333860698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.091959,112663.3064,17690.47939,11,84.9,30.5,6.3,0.81221355,17.94262295,-13.48360656,395.1311475,272.2459016
IDL42154,0,0,0,1,0.46,0.224735886,MOD04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.571428571,1.299623267,0.080469,11259.151,0,11.5,3869.7,21,2.9,0,18.86885246,-10.40491803,344.8360656,211.1147541
